step,sha256,md5,sha1,blake2b,sha3_256
0,3.600120544433594e-05,6.9141387939453125e-06,8.344650268554688e-06,6.4373016357421875e-06,7.62939453125e-06
1,6.198883056640625e-06,1.430511474609375e-06,1.6689300537109375e-06,1.9073486328125e-06,1.9073486328125e-06
2,6.67572021484375e-06,2.384185791015625e-06,2.1457672119140625e-06,2.1457672119140625e-06,2.86102294921875e-06
3,3.5762786865234375e-06,1.430511474609375e-06,1.1920928955078125e-06,1.430511474609375e-06,1.9073486328125e-06
4,1.4781951904296875e-05,2.1457672119140625e-06,6.4373016357421875e-06,2.1457672119140625e-06,3.337860107421875e-06
5,2.1457672119140625e-06,1.1920928955078125e-06,7.152557373046875e-07,1.1920928955078125e-06,1.430511474609375e-06
6,6.9141387939453125e-06,2.384185791015625e-06,2.1457672119140625e-06,2.384185791015625e-06,3.0994415283203125e-06
7,5.4836273193359375e-06,2.6226043701171875e-06,2.1457672119140625e-06,1.6689300537109375e-06,2.86102294921875e-06
8,3.0994415283203125e-06,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,1.430511474609375e-06
9,2.384185791015625e-06,9.5367431640625e-07,1.430511474609375e-06,1.1920928955078125e-06,1.430511474609375e-06
10,9.775161743164062e-06,1.9073486328125e-06,1.430511474609375e-06,1.6689300537109375e-06,2.1457672119140625e-06
11,2.6226043701171875e-06,9.5367431640625e-07,1.1920928955078125e-06,1.1920928955078125e-06,1.1920928955078125e-06
12,3.0994415283203125e-06,1.430511474609375e-06,1.430511474609375e-06,1.430511474609375e-06,1.9073486328125e-06
13,5.7220458984375e-06,1.6689300537109375e-06,1.6689300537109375e-06,1.6689300537109375e-06,2.1457672119140625e-06
14,6.198883056640625e-06,2.384185791015625e-06,2.1457672119140625e-06,2.1457672119140625e-06,2.6226043701171875e-06
15,2.6226043701171875e-06,9.5367431640625e-07,7.152557373046875e-07,9.5367431640625e-07,1.1920928955078125e-06
16,1.4066696166992188e-05,2.1457672119140625e-06,1.430511474609375e-06,1.9073486328125e-06,1.9073486328125e-06
17,4.291534423828125e-06,1.9073486328125e-06,1.1920928955078125e-06,1.6689300537109375e-06,1.0728836059570312e-05
18,5.4836273193359375e-06,9.5367431640625e-06,2.384185791015625e-06,1.9073486328125e-06,3.838539123535156e-05
19,5.0067901611328125e-06,1.9073486328125e-06,1.6689300537109375e-06,1.9073486328125e-06,2.86102294921875e-06
20,4.291534423828125e-06,2.384185791015625e-06,1.6689300537109375e-06,1.430511474609375e-06,2.86102294921875e-06
21,4.0531158447265625e-06,1.9073486328125e-06,1.1920928955078125e-06,6.67572021484375e-06,3.337860107421875e-06
22,2.384185791015625e-06,9.5367431640625e-07,9.5367431640625e-07,1.1920928955078125e-06,9.5367431640625e-07
23,5.0067901611328125e-06,1.1920928955078125e-06,1.6689300537109375e-06,1.9073486328125e-06,1.6689300537109375e-06
24,4.0531158447265625e-06,1.1205673217773438e-05,4.76837158203125e-06,2.1457672119140625e-06,1.9073486328125e-06
25,5.0067901611328125e-06,1.430511474609375e-06,1.430511474609375e-06,1.430511474609375e-06,1.9073486328125e-06
